time,pr,scenario,region,pr_day
2093-12-31 00:00:00,2.881272e-05,ssp126,Global,2.489419
2094-12-31 00:00:00,2.8768085e-05,ssp126,Global,2.4855626
2095-12-31 00:00:00,2.8659882e-05,ssp126,Global,2.476214
2096-12-31 00:00:00,2.861164e-05,ssp126,Global,2.4720457
2097-12-31 00:00:00,2.8825163e-05,ssp126,Global,2.490494
2098-12-31 00:00:00,2.8744043e-05,ssp126,Global,2.4834855
2099-12-31 00:00:00,2.8738394e-05,ssp126,Global,2.4829972
2100-12-31 00:00:00,2.8612512e-05,ssp126,Global,2.472121
2015-12-31 00:00:00,2.6953547e-05,ssp126,North America,2.3287864
2016-12-31 00:00:00,2.8108774e-05,ssp126,North America,2.4285982
2017-12-31 00:00:00,2.8827339e-05,ssp126,North America,2.4906821
2018-12-31 00:00:00,2.7226486e-05,ssp126,North America,2.3523684
2019-12-31 00:00:00,2.8117633e-05,ssp126,North America,2.4293635
2020-12-31 00:00:00,2.8105478e-05,ssp126,North America,2.4283133
2021-12-31 00:00:00,2.8317372e-05,ssp126,North America,2.446621
2022-12-31 00:00:00,2.8038488e-05,ssp126,North America,2.4225254
2023-12-31 00:00:00,2.7763377e-05,ssp126,North America,2.3987558
2024-12-31 00:00:00,2.660002e-05,ssp126,North America,2.2982419
2025-12-31 00:00:00,2.7916258e-05,ssp126,North America,2.4119647
2026-12-31 00:00:00,2.8208739e-05,ssp126,North America,2.437235
2027-12-31 00:00:00,2.8011922e-05,ssp126,North America,2.4202302
2028-12-31 00:00:00,2.8814644e-05,ssp126,North America,2.4895852
2029-12-31 00:00:00,2.884779e-05,ssp126,North America,2.492449
2030-12-31 00:00:00,2.881934e-05,ssp126,North America,2.489991
2031-12-31 00:00:00,2.8957878e-05,ssp126,North America,2.5019608
2032-12-31 00:00:00,2.86874e-05,ssp126,North America,2.4785914
2033-12-31 00:00:00,2.9258821e-05,ssp126,North America,2.5279622
2034-12-31 00:00:00,2.9391684e-05,ssp126,North America,2.5394416
2035-12-31 00:00:00,2.8537002e-05,ssp126,North America,2.465597
2036-12-31 00:00:00,2.8797549e-05,ssp126,North America,2.4881082
2037-12-31 00:00:00,2.9204806e-05,ssp126,North America,2.5232952
2038-12-31 00:00:00,2.8831657e-05,ssp126,North America,2.4910553
2039-12-31 00:00:00,2.914812e-05,ssp126,North America,2.5183976
2040-12-31 00:00:00,2.8477314e-05,ssp126,North America,2.46044
2041-12-31 00:00:00,2.9583702e-05,ssp126,North America,2.556032
2042-12-31 00:00:00,2.9424391e-05,ssp126,North America,2.5422673
2043-12-31 00:00:00,2.927585e-05,ssp126,North America,2.5294335
2044-12-31 00:00:00,2.8672406e-05,ssp126,North America,2.4772959
2045-12-31 00:00:00,2.990149e-05,ssp126,North America,2.5834887
2046-12-31 00:00:00,2.939938e-05,ssp126,North America,2.5401065
2047-12-31 00:00:00,2.9169181e-05,ssp126,North America,2.5202172
2048-12-31 00:00:00,2.8976416e-05,ssp126,North America,2.5035622
2049-12-31 00:00:00,2.9780405e-05,ssp126,North America,2.5730271
2050-12-31 00:00:00,2.918396e-05,ssp126,North America,2.5214942
2051-12-31 00:00:00,2.9668176e-05,ssp126,North America,2.5633304
2052-12-31 00:00:00,2.90745e-05,ssp126,North America,2.5120368
2053-12-31 00:00:00,2.8957727e-05,ssp126,North America,2.5019476
2054-12-31 00:00:00,2.8828497e-05,ssp126,North America,2.4907823
2055-12-31 00:00:00,2.9589115e-05,ssp126,North America,2.5564995
2056-12-31 00:00:00,2.9686427e-05,ssp126,North America,2.5649073
2057-12-31 00:00:00,2.8684244e-05,ssp126,North America,2.4783187
2058-12-31 00:00:00,2.8583896e-05,ssp126,North America,2.4696486
2059-12-31 00:00:00,2.8900937e-05,ssp126,North America,2.497041
2060-12-31 00:00:00,2.939335e-05,ssp126,North America,2.5395854
2061-12-31 00:00:00,2.9681789e-05,ssp126,North America,2.5645065
2062-12-31 00:00:00,2.9583307e-05,ssp126,North America,2.5559976
2063-12-31 00:00:00,2.8701585e-05,ssp126,North America,2.479817
2064-12-31 00:00:00,2.8816743e-05,ssp126,North America,2.4897666
2065-12-31 00:00:00,2.919548e-05,ssp126,North America,2.5224895
2066-12-31 00:00:00,2.9308634e-05,ssp126,North America,2.532266
2067-12-31 00:00:00,2.934108e-05,ssp126,North America,2.5350692
2068-12-31 00:00:00,2.9558947e-05,ssp126,North America,2.553893
2069-12-31 00:00:00,2.9456176e-05,ssp126,North America,2.5450137
2070-12-31 00:00:00,2.8965338e-05,ssp126,North America,2.5026052
2071-12-31 00:00:00,2.8142256e-05,ssp126,North America,2.431491
2072-12-31 00:00:00,2.8580494e-05,ssp126,North America,2.4693546
2073-12-31 00:00:00,2.8296976e-05,ssp126,North America,2.4448588
2074-12-31 00:00:00,2.916881e-05,ssp126,North America,2.5201852
2075-12-31 00:00:00,2.9315375e-05,ssp126,North America,2.5328484
2076-12-31 00:00:00,2.9114732e-05,ssp126,North America,2.5155127
2077-12-31 00:00:00,3.0065808e-05,ssp126,North America,2.5976858
2078-12-31 00:00:00,2.8903645e-05,ssp126,North America,2.4972749
2079-12-31 00:00:00,2.897792e-05,ssp126,North America,2.5036924
